Spotify Rank,song_name,song_artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
189,Because of You,Kelly Clarkson,0.5005,0.9399,0.8832,0.1339,0.0067,0.0000,0.1314,0.9075,0.7335
190,Get The Party Started,P!nk,0.4286,0.8627,0.8336,0.0739,0.0079,0.0000,0.1252,0.4695,0.6386
191,The Anthem,Good Charlotte,0.8825,0.5972,0.8385,0.0493,0.1265,0.0001,0.0543,0.6453,0.5200
192,I Don't Want to Be,Gavin DeGraw,0.5917,0.7004,0.8554,0.0538,0.5141,0.0000,0.1221,0.5579,0.6766
193,The Way You Move (feat. Sleepy Brown) - Club Mix,OutKast,0.4286,0.9228,0.8962,0.0437,0.0171,0.0000,0.0934,0.5762,0.6440
194,Better in Time,Leona Lewis,0.4286,0.9409,0.8613,0.0675,0.0017,0.0000,0.1714,0.5132,0.6187
195,Over You,Daughtry,0.6555,0.7294,0.8058,0.0251,0.0207,0.0490,0.1262,0.6982,0.3880
196,The Great Escape,Boys Like Girls,0.5279,0.4308,0.7194,0.0311,0.3283,0.0000,0.0899,0.1839,0.4397
197,Your Body Is a Wonderland,John Mayer,0.6586,0.8798,0.8820,0.0349,0.3253,0.0000,0.3744,0.9136,0.4334
198,Superman (It's Not Easy),Five For Fighting,0.8308,0.7174,0.8073,0.0767,0.4408,0.0011,0.2308,0.8567,0.4292
199,Vivir Mi Vida,Marc Anthony,0.7660,0.8006,0.8329,0.0350,0.2118,0.0007,0.0370,0.9827,0.4908
200,La Vida Es Un Carnaval,Celia Cruz,0.7609,0.7314,0.8512,0.0327,0.0841,0.0000,0.0458,0.9888,0.4003
201,Lambada - Original Version 1989,Kaoma,0.7285,0.8096,0.7079,0.0543,0.0897,0.0000,0.1765,0.9797,0.4161
202,La Camisa Negra,Juanes,0.8217,0.8808,0.8871,0.0667,0.2550,0.0015,0.0375,0.9299,0.5122
203,La Gota Fría,Carlos Vives,0.7325,0.7775,0.8739,0.1148,0.0428,0.0000,0.0351,0.9766,0.3756
204,Suavemente,Elvis Crespo,0.7082,0.9178,0.8394,0.1222,0.0783,0.0000,0.0555,0.9035,0.5367
205,Bailando - Spanish Version,Enrique Iglesias,0.7923,0.8747,0.7834,0.0504,0.1416,0.0586,0.1037,0.8730,0.5083
206,Danza Kuduro,Don Omar,0.5927,0.9780,0.8723,0.0654,0.6245,0.0000,0.3252,0.8140,0.5706
207,Conga,Miami Sound Machine,0.7538,0.6012,0.8308,0.0371,0.8363,0.0243,0.1232,0.9197,0.5924
208,La Bilirrubina - En Vivo Estadio Olímpico De República Dominicana/2012,Juan Luis Guerra 4.40,0.5735,0.9118,0.7263,0.0841,0.0307,0.0248,0.0477,0.6484,0.7987
209,Guantanamera,Celia Cruz,0.5552,0.6884,0.8107,0.0395,0.4568,0.0000,0.0627,0.8262,0.7422
210,El Matador,Los Fabulosos Cadillacs,0.7842,0.6874,0.8413,0.0621,0.0180,0.0000,0.1201,0.3130,0.4331
211,Amor Prohibido,Selena,0.8136,0.5601,0.7894,0.0423,0.4207,0.0000,0.0512,0.7825,0.5517
213,Mi Gente,J Balvin,0.7052,0.7284,0.7888,0.0361,0.7460,0.0539,0.0745,0.9787,0.5121
214,Obsesion,Aventura,0.6677,0.8026,0.8420,0.1573,0.2088,0.0000,0.1150,0.8770,0.7343
215,Let's Get Loud,Jennifer Lopez,0.6798,0.8848,0.7311,0.0623,0.4157,0.0002,0.0607,0.9482,0.4935
216,Oye Como Va,Tito Puente,0.5897,0.6102,0.7961,0.1095,0.7821,0.0000,0.2626,0.8394,0.3865
